medicine_id,name,category,supplier_id,cost_price,unit_price,stock_qty,expiry_date,manufacture_date,batch_number,reorder_level
MED001,Paracetamol,Pain Relief,SUP001,2.5,5,500,2024-12-31,2023-01-15,BT12345,100
MED002,Amoxicillin,Antibiotic,SUP002,5.0,10,300,2024-06-30,2023-02-20,BT23456,50
MED003,Omeprazole,Antacid,SUP003,4.0,8,400,2025-03-31,2023-03-10,BT34567,75
MED004,Loratadine,Antihistamine,SUP001,3.0,6,350,2024-09-30,2023-01-25,BT45678,60
MED005,Metformin,Antidiabetic,SUP002,3.5,7,250,2024-08-31,2023-02-15,BT56789,40
MED006,Atorvastatin,Cholesterol,SUP003,6.0,12,200,2024-07-31,2023-03-05,BT67890,35
MED007,Salbutamol,Bronchodilator,SUP001,4.5,9,180,2024-11-30,2023-01-30,BT78901,30
MED008,Amlodipine,Antihypertensive,SUP002,5.5,11,220,2024-10-31,2023-02-25,BT89012,40
MED009,Diazepam,Sedative,SUP003,7.0,14,150,2024-05-31,2023-03-15,BT90123,25
MED010,Insulin,Antidiabetic,SUP001,15.0,30,100,2024-04-30,2023-01-20,BT01234,20
MED011,Ibuprofen,Pain Relief,SUP002,3.0,6,450,2025-01-31,2023-02-10,BT12345,90
MED012,Cetirizine,Antihistamine,SUP003,2.5,5,380,2024-08-31,2023-03-20,BT23456,70
MED013,Ceftriaxone,Antibiotic,SUP001,8.0,16,120,2024-03-31,2023-01-10,BT34567,20
MED014,Simvastatin,Cholesterol,SUP002,5.5,11,180,2025-02-28,2023-02-05,BT45678,30
MED015,Ranitidine,Antacid,SUP003,4.0,8,250,2024-06-30,2023-03-25,BT56789,45
